seen_date,state,city,shape,summary,duration,posted_date
2015-08-04T23:30:00,UT,American Fork,light,"3 bright orange flashing lights, and one craft that flew very fast.",2-3 seconds,2015-08-06T00:00:00
2015-08-04T23:40:00,OR,Portland,light,Group of 3 lights sighted heading south towards Portland.,5 seconds,2015-08-06T00:00:00
2015-08-05T00:30:00,NC,Maiden,disk,I could see over the tree line a large object that was disc shape and almost look like a Zeppelin or some type of blimp.,5 minutes,2015-08-06T00:00:00
2015-08-05T00:30:00,MI,Westland,light,"We saw a light, whitish blue, flying just below cloud level, moving slow.  It was not pulsating or flickering...no sound.",2 minutes,2015-08-06T00:00:00
2015-08-05T03:15:00,OH,Hudson,unknown,Strange communicating high-pitch whistling sounds.,20 minutes,2015-08-06T00:00:00
2015-08-05T06:05:00,OH,Groveport,triangle,Taking pics of the sunrise at work and was going through the 5 pics when i noticed them in the top of the picture 4 together side by s,2 minutes,2015-08-06T00:00:00
1970-06-24T22:00:00,KY,Hazard,disk,"Discus shape object color changes, landed disrupted radion communication.",20 minutes,2015-07-23T00:00:00
1975-07-15T22:00:00,WA,"Yakima Firing Center, Yakima",triangle,Trianglular shape of light seen during military training exercise in 1975.,10 minutes,2015-07-23T00:00:00
1976-07-01T08:00:00,WA,Boise,oval,"In July of 1976, I was at the Boise Post Off., while facing the front doors i looked of to my right, what i saw a flaming orb (i could",15 minutes,2015-07-23T00:00:00
1997-07-04T21:30:00,MO,Black,,Bluish light,5 seconds,2015-07-23T00:00:00
2000-09-13T21:00:00,NY,Williamsville,light,"Repeat sighting of 9/6/00, with 3 stationary, star-like objects in a triangle formation constantly blinking red, green and white lights",3 hrs.,2000-09-17T00:00:00
2007-08-24T08:30:00,NH,Laconia,disk,At about 8:30 we were fishing when we2 saw a round shaped object in the sky with blue lights all around it moving slowly on the other s,5-10 minutes,2015-07-23T00:00:00
2010-07-03T22:30:00,PA,Northampton,sphere,8 spheres in formation.,~3 minutes,2015-07-23T00:00:00
2013-05-06T21:00:00,,Newcastle (NSW)(Australia),unknown,I have had contact with an unknown party that can move matter around like star trek. I was possibly abducted.,overnight,2015-07-23T00:00:00
2013-05-10T19:00:00,IA,Boone,light,"I was by Fareway when I saw a weird light in the sky. It didn't look like an airplane, it just looked like a flash of light.",Few seconds,2015-07-23T00:00:00
2014-03-05T08:00:00,VA,Front Royal,sphere,I have witnessed multiple ufos in Front Royal. I am a very open minded person who intelligently considers various explanations before c,2 minutes,2015-07-23T00:00:00
2013-07-07T20:05:00,CT,Westbrook,disk,Seen two UFOs made of orange.red and yellow lights with red flashing lights.,3-4 minutes,2015-07-23T00:00:00
2015-08-05T17:45:00,NC,Newton,sphere,My daughter and I were swimming and I was looking up to check out a dark cloud when I noticed a metallic sphere going from south to eas,30 seconds,2015-08-06T00:00:00
2015-08-05T19:05:00,NJ,Lumberton,rectangle,"I was driving along the road Just behind the Shoprite in Lumberton,NJ when to my upper right of my windshield my eyes caught a large re",5 minutes,2015-08-06T00:00:00
2015-08-05T20:00:00,MA,Plymouth,fireball,Orange fireball shaped objects over Plymouth Harbour.,10 minutes,2015-08-06T00:00:00
2015-08-05T20:25:00,WY,Torrington,sphere,"Same as last night.  Bright ball of light between 5,000-10,000 feet.  It is 10 times the size of a communication satellite.",5 minutes,2015-08-06T00:00:00
2000-09-14T07:51:00,TX,Houston,cylinder,Videotaped a floating cylinder while taking pictures of planes leaving trails in the sky.,20 min.,2000-09-17T00:00:00
2015-08-05T21:00:00,NC,Weddington,triangle,"Triangular shaped aircraft hovering over wooded area in night sky, with 3 distinct lights on each point.",3 minutes,2015-08-06T00:00:00
2015-08-05T21:15:00,NY,Irondequoit,circle,"Five bright red lights, flying in V-formation, over Lake Ontario at night without sound with additional two behind.",1-2 minutes,2015-08-06T00:00:00
2015-08-05T21:16:00,PA,Palmyra,oval,"Yellow/white lights hovering over field in Palmyr, PA.",1 minute,2015-08-06T00:00:00
2015-08-05T21:45:00,GA,Savannah,formation,5 white lights hovering.,1 minute,2015-08-06T00:00:00
2015-08-05T23:00:00,ME,Centerville,sphere,I saw these odd bright lights to the right in my window that looked like white fireworks.,~20 minutes,2015-08-06T00:00:00
2015-08-05T23:40:00,NJ,Wildwood Crest,fireball,4 fireballs near Wildwood Crest.,~10 minutes,2015-08-06T00:00:00
2015-08-05T23:45:00,PA,Tullytown,,"Flashing lights for one hour, in one spot in the sky only.",1 hour,2015-08-06T00:00:00
2014-06-14T11:30:00,AB,Cochrane,disk,Object appears to be about 30ft. in diameter and made no sound or any other discharge(s) from my observations.,1-2 minutes,2015-07-23T00:00:00
2015-08-06T04:00:00,OR,Portland,light,"Sporadic movement: circular, straight, zig-zag.  Star-like, no blinking lights. Cont. movement and short periods of complete stillness.",40 minutes,2015-08-06T00:00:00
2014-07-22T14:09:00,NV,Mercury,circle,"Structure similar to Lockheed flying disk in Patent 3,066,890 in satellite photo of Mercury,  NV.",On Going,2015-07-23T00:00:00
2000-09-14T08:10:00,WA,Vancouver,egg,White object on clear day,1 1/2 min.,2000-09-17T00:00:00
2014-09-01T07:00:00,TX,Sulphur Springs,rectangle,Seems like they want me to see them.,1 minute,2015-07-23T00:00:00
2015-02-10T05:30:00,MO,Rolla,rectangle,"Rectangular, lights on corners and multiple other lights, white and red in the early morning.",10 seconds,2015-07-23T00:00:00
2015-02-12T12:00:00,CA,Oroville,circle,"Red 3 spoked UFO appeared over Oroville, CA, 2/12/15.  ((NUFORC Note:  Photo of object provided.  PD))",5 minutes,2015-07-23T00:00:00
2015-04-18T06:00:00,FL,Miami Beach,cigar,Cigar shaped cloud...,~15 minutes,2015-07-23T00:00:00
2015-05-01T23:00:00,OH,Dayton,circle,We saw six circular orange in color objects. The objects would go in different directions and then disappear.,30 minutes,2015-07-23T00:00:00
2015-05-05T15:00:00,SC,Travelers Rest,circle,"Orange orb seen May 5, 2015, in from upstate SC looking west over hills, moving S to N.",20 minutes,2015-07-23T00:00:00
2015-05-27T13:42:00,,Yucatan (Mexico),sphere,Dark sphere traveling fast over the countryside road.,Few seconds,2015-07-23T00:00:00
2015-06-20T01:00:00,,Abingdon,,"Never saw an airplane, helicopter or drone for that matter that moved through the sky like this.",10 minutes,2015-07-23T00:00:00
2015-06-28T11:42:00,SD,Sioux Falls,cylinder,The Ufo was white and a cylinder shape.,East 63rd street,2015-07-23T00:00:00
2015-06-30T21:15:00,OR,Eugene,rectangle,My neighbor and I saw a rectangle with bright blue and red lights traveling away and turning around at unexplainable speeds.,4 seconds,2015-07-23T00:00:00
2017-04-29T20:30:00,MA,Woods Hole,chevron,A wedge-shaped formation of lights silently passed overhead where lights in the formation switched position before fading from sight.,20-45 seconds,2017-05-06T00:00:00
2000-09-14T12:30:00,,Bribie Island  (Australia),sphere,flashing object changes colour !     second obect-  orange sphere   does nothing except sit there!,2.5hrs,2000-09-17T00:00:00
2015-08-06T04:45:00,MN,Rice,sphere,"Fast moving, flashing, blue object in sky.",20 seconds,2015-08-06T00:00:00
2015-06-30T23:30:00,FL,Lake Mary,fireball,"Starlight, Starbright…  ((NUFORC Note:  Possible sighting of Venus and Jupiter?  PD))",~45 minutes,2015-07-23T00:00:00
2015-07-04T00:40:00,MO,Butler,circle,Reddish-orange sphere seen by two witnesses,20 seconds,2015-07-23T00:00:00
2015-07-02T10:20:00,CO,Mead,disk,Black saucer looking object.,10 seconds,2015-07-23T00:00:00
2015-07-04T20:00:00,NJ,Keansburgh,circle,It was 4th a little before the fire works when we saw this circular flying object in the sky hovering steady in place way in the sky.,~20 minutes,2015-07-23T00:00:00
2015-07-04T20:45:00,QC,Roxboro,rectangle,I had just stepped outside the house after having a late dinner which was at about 08:45 p.m. and as I looked up to th,5 minutes,2015-07-23T00:00:00
2015-07-04T21:10:00,MO,Farmington,light,"I looked out my windshield and viewed the craft headed west. It seemed quite large, a fireball, with no discernible flashing lights,..",10 minutes,2015-07-23T00:00:00
2015-07-04T22:00:00,MI,Livonia,other,13 nearly identical reddish orange lights moving slowly in the night sky.,15 minutes,2015-07-23T00:00:00
2015-07-04T21:30:00,IL,Machesney Park,triangle,Strange triangular orange -red hovering object.,5 minutes,2015-07-23T00:00:00
2015-07-04T22:00:00,OH,Perrysburg,oval,Yellow sphere seen during firework display.,30 seconds,2015-07-23T00:00:00
2000-09-14T19:30:00,CA,Santa Monica,diamond,"AT AROUND 7:30 ON THE DAY OF SEPTEMBER 15 I WAS GOING TO HAVE DINNER WIFE CAME OUT TO GET ME, WE BOTH NOTICED THE BEAUTIFUL SUNSET WE W",20 minutes,2000-09-17T00:00:00
2015-07-06T00:00:00,CA,Anaheim,other,I was looking at the starsjupiter and venus through my binoculars when a redand blue coned shape object appeard heading south i could n,5 minutes,2015-07-23T00:00:00
2015-07-10T21:45:00,OH,Monroe,light,Orb like lights settling west of I-75.,2 minutes,2015-07-23T00:00:00
2015-07-12T17:30:00,WA,Lynnwood,sphere,Shape-shifting multi-colored spheres above Seattle.,3 minutes,2015-07-23T00:00:00
1985-05-16T22:30:00,CA,Bakersfield,other,"I was driving a waivy road, not much lights. Suddenly a big path with gate entrancejust open about 30 feet in front of me. I made a com",20-30 seconds,2015-07-17T00:00:00
1989-10-10T22:00:00,NC,Topsail Beach,light,"Near Topsail Beach, 3 silent, star-sized objects each come to a stop, then one at a time, shoot off to disappear seaward",1 minute,2015-07-17T00:00:00
1990-06-10T02:30:00,CA,Stockton,sphere,Saw a red glowing sphere while fishing with friend.,20 minutes,2015-07-17T00:00:00
2015-07-13T22:00:00,NH,Gorham,oval,Bright circular donut shape white light.,3 minutes,2015-07-23T00:00:00
2015-07-14T21:30:00,MA,Nantucket,flash,Nantucket oddity.,15 seconds,2015-07-23T00:00:00
2015-07-15T11:00:00,WA,Selah,triangle,"Strange Craft Seen Over Yakima, Washington.",20 minutes,2015-07-23T00:00:00
2015-07-15T11:35:00,FL,Cocoa Beach,disk,"Captured in picture of helicopter at recent Atlas rocket launch, a ufo appears to be in frame ahead of helicopter in closed airspace",brief,2015-07-23T00:00:00
2000-09-14T21:00:00,OR,Portland,triangle,Triangular shaped object viewed through a telescope after initial sighting by 4 adults.,2-3 minutes,2000-09-17T00:00:00
2015-07-16T02:30:00,CO,Aurora,other,Multiple (7-15) triangle shaped crafts with lights that would flash different colors,3 hours,2015-07-23T00:00:00
2015-07-16T22:05:00,IL,Chicago,fireball,"It looked like a glowing red ball of light in the sky, lasted about 45 seconds, then became smaller and disappeared quickly into the sk",1 minute,2015-07-23T00:00:00
2015-07-16T18:00:00,,Salta,light,"Tengo 3 fotos y un video que quisiera que analicen, es muy rara la luz que aparece. Ocurrio al atardecer al filmar a mi hija con su bar",1 minuto,2015-07-23T00:00:00
2015-07-17T00:00:00,PA,Johnstown,triangle,Fire flying through the sky.,4 minutes,2015-07-23T00:00:00
2015-07-17T11:15:00,,Hanson,light,"Bright light travelling along a line of clouds, stopping and going at high speeds.",2 minutes,2015-07-23T00:00:00
2015-07-17T17:00:00,CA,Mount Shasta,circle,"Red lights flashing at one sec intervals on Mount Shasta, forms a circular or disc shape, located in the mountain area, below Bunny Fla",4 hours,2015-07-23T00:00:00
2015-07-17T21:30:00,IN,South Bend,fireball,A strange sound followed by a ball of light moving at the speed of light and sound over South Bend,4 minutes,2015-07-23T00:00:00
2015-07-17T22:10:00,NY,Sag Harbor,light,"10 round lights noted by attorney and nurse in Sag Harbor, July 17.",5 minutes,2015-07-23T00:00:00
2009-06-01T06:00:00,TX,Spicewood,oval,"Silver oval suspended at angle 100 yards away at dawn after seeing dozens of lights, moved towards us then shot away quickly.",1-2 hours,2015-07-17T00:00:00
1990-06-10T02:30:00,CA,Stockton,sphere,"I also saw a UFO.  Well it was a friend and i who saw it,in Stockton,Ca in mid June of 1990 we were fishing.it was a red glowing sph",20 minutes,2015-07-17T00:00:00
2000-09-14T21:15:00,IA,Des Moines,light,It was a round star object that went straight then zig zagged.,:30 seconds,2000-09-17T00:00:00
2012-03-12T11:54:00,MO,Sunset Hills,changing,"Iridescent sparkly glittery silent cloud or haze that was silent, without solidity, varied in opacity, moving cloud-like objects.",15 minutes,2015-07-17T00:00:00
2013-12-08T05:40:00,,Great Yarmouth (Norfolk)(UK/England),other,"The object moved at a steady speed from east to west, stopped, turned into orange fireball.",5 minutes,2015-07-17T00:00:00
2014-04-15T23:00:00,WY,Thermopolis,triangle,"Around 11 pm my husband and I stepped out onto our porch so I could have a cigarette We observed 3  bright lights,strobe like, set up i",5 minutes,2015-07-17T00:00:00
2014-07-13T22:55:00,NC,Mooresville,rectangle,"Light appeared over Lake Norman hovering, moved up and hovered again, headed left at fast speeds and we lost sight of it.",1.5 minutes,2015-07-17T00:00:00
2014-11-10T21:30:00,NC,Snow Hill,circle,Object flys west in North Carolina.,15 minutes,2015-07-17T00:00:00
2015-05-06T01:30:00,CT,New Milford,light,Impossibly fast maneuvering light to the North of my location heading West/Southwest.,30 seconds,2015-07-17T00:00:00
2014-11-15T23:45:00,OK,Wyandotte,unknown,Twin bridges hoving just feet over the rivere right by the highway,1 minute,2015-07-17T00:00:00
2015-05-19T11:00:00,CO,Fort Collins,sphere,Black well-defined circular object moves much faster than jet to the west of Fort Collins on a bright morning.,2 seconds,2015-07-17T00:00:00
2015-05-14T09:45:00,MD,Germantown,cylinder,"3 alien spacecraft over Germantown, MD.",~40 seconds,2015-07-17T00:00:00
2015-06-22T23:00:00,WI,Hatfield,triangle,"Gold to light yellow triangular shape with 3 black dots, changed into a small cloud",45 seconds,2015-07-17T00:00:00
2000-09-15T08:00:00,MS,Tupelo,disk,Man & wife watching contrails witness silvery disc,20-30 sec,2000-09-17T00:00:00
2015-07-17T22:50:00,PA,Sinking Spring,triangle,"I saw three bright lights in the sky, hovering in a triangular pattern, just above the tree line across from my subdivision.",1.00,2015-07-23T00:00:00
2015-07-17T22:54:00,LA,Thibodaux,light,I was outside in a very remote area and a bright light about as bright as Venus or the International Space Station caught my eye. I wat,5 seconds,2015-07-23T00:00:00
2015-07-17T23:00:00,FL,Palm Harbor,light,"Blue green object then changed to bright white, making U-shapes.",2 minutes,2015-07-23T00:00:00
2015-07-17T23:20:00,MI,Gladstone,fireball,Multiple fireballs in the sky.,20+ minutes,2015-07-23T00:00:00
2015-07-17T23:40:00,ID,Boise,sphere,While sky watching from Camelsback Park I witnessed a small object move extremely fast across the sky from the NE to SSW.,6 seconds,2015-07-23T00:00:00
2015-07-18T00:00:00,NY,Asbury Park,other,A strange object hovering in the sky. Looked like a bumper car with red lights. Quickly turned around a couple of times and just vanish,15 seconds,2015-07-23T00:00:00
2015-07-18T10:30:00,CO,Weldona,cylinder,"Unbelievable speed, instantly move across sky.",45 seconds,2015-07-23T00:00:00
2015-07-18T12:21:00,CA,Chico,cone,North Chico!  Bright white cone shaped lights over Richardson Springs Rd.,1 hour,2015-07-23T00:00:00
2015-07-18T20:15:00,CA,Palm Springs,circle,"Round, blue object over Palm Springs mountains.",5 minutes,2015-07-23T00:00:00
2015-07-18T21:00:00,VA,Front Royal,circle,Saw two orange balls shape objects in the sky flying east over the Front Royal Airport area.,15 minutes,2015-07-23T00:00:00
2000-09-15T19:00:00,CA,Studio City,light,Satellite looking object seen at sunset changes direction twice.,5 minutes,2000-09-17T00:00:00
2015-07-18T21:16:00,MD,Towson,fireball,"Standing on our porch in Towson Md we saw an orange, fiery object moving silently and rapidly in a Northwestern direction. It left no t",2 minutes,2015-07-23T00:00:00
2015-07-18T21:30:00,GA,Savannah,unknown,Strobe craft.,2-3 minutes,2015-07-23T00:00:00
2015-06-26T21:30:00,NV,Reno,sphere,"Solid bright orange pulsating moving S and climbing at a low speed, changed direction to SE and steep climb, increased speed.",4 minutes,2015-07-17T00:00:00
2015-06-26T23:00:00,NY,High Falls,circle,30 white orbs visit my yard.,40 minutes,2015-07-17T00:00:00
2015-06-27T00:00:00,OK,Long,changing,Thought I had entered the twilight zone for a minute.  ((NUFORC Note:  Star or planet??  PD)),16 minutes,2015-07-17T00:00:00
2015-06-28T12:47:00,CA,Moro Bay,sphere,Black orb seen in photo taken of Moro Rock in CA.,only later seen on photo,2015-07-17T00:00:00
2015-06-29T21:30:00,NJ,Forked River,light,I witnessed 2 lights that didn't move at all. One light was on top of the other one. The bottom light was brighter than the one on top.,25 minutes,2015-07-17T00:00:00
2015-07-03T21:00:00,TN,Kingston,circle,It was getting late evening and a large red glowing object came over the hill top of the tree line as we sat on our dock. This red obje,5 minute,2015-07-17T00:00:00
2015-07-03T22:17:00,CA,Universal City,other,Boomerang-shaped UFO materializes over Universal City.,1-2 minutes,2015-07-17T00:00:00
2015-07-04T20:00:00,SC,Taylors,light,"At 2000 on July 4, 2015 while outside watching our neighbors shoot off fireworks we witnessed 15 separate solid orange lights over a 45",~40 minutes,2015-07-17T00:00:00
2000-09-15T20:19:00,CA,Berkeley,disk,"While looking from Berkeley west over the Pacific Ocean just after sunset, an orange light was seen about 5 degreees above the horizon.",five minutes,2000-09-17T00:00:00
2015-07-04T21:00:00,NY,Syracuse,oval,Craft spotted during fireworks show.,20 minutes,2015-07-17T00:00:00
2015-07-18T22:00:00,SC,Goose Creek,unknown,UFO with bright orange light with pencil like beams of light emitted from all sides.,4 minutes,2015-07-23T00:00:00
2015-07-18T22:12:00,MI,Allegan,oval,White oval shaped object crossing horizon at high rate of speed from North to South.,1 second,2015-07-23T00:00:00
2015-07-18T22:20:00,IA,Council Bluffs,sphere,Bright white orb seen from Madison Ave..,1 second,2015-07-23T00:00:00
2015-07-18T22:22:00,PA,Allison Park,fireball,3 orange fireballs moving across sky in same path at moderate speed,2-3 minutes,2015-07-23T00:00:00
2015-07-04T01:00:00,CO,Buffalo Creek Area Campground,triangle,Tripod-shaped and a series of bright flashes.,15 minutes,2015-07-17T00:00:00
2015-07-18T22:45:00,FL,Orlando,light,"Very large, bright red object with secondary flashing green light below",1 minute,2015-07-23T00:00:00
2015-07-18T23:00:00,MI,Mount Morris,fireball,"Single Orange glowing fireball, had controlled movement, in veiw for about 1 min Made no sound, hovered and moved slowly out of view.",1 minutes,2015-07-23T00:00:00
2015-07-18T23:00:00,PA,Scranton,light,"My girlfriend and i were on top of Montage Mountain in Scranton, PA facing the main stage with the tent (not sure on the actual directi",30 seconds,2015-07-23T00:00:00
2015-07-18T23:00:00,WA,Yelm,triangle,"4 Triangular craft, lit up by lights, seen in sky, remained stationary and I never saw them depart.",Ongoing,2015-07-23T00:00:00
2000-09-15T20:37:00,NM,Ruidsoso,light,"2 points of light, diplaying bizzare behavior, while travelling throught the sky.",15 minutes,2000-09-17T00:00:00
2015-07-19T00:00:00,IN,Valparaiso,unknown,"Stationary flashing red, green lights.  ((NUFORC Note:  Possible ""twinkling"" star??  PD))",sundown,2015-07-23T00:00:00
2015-07-19T00:20:00,VA,Pulaski,unknown,Bright light through woods at end of road off case knife road off another dead end round dirt road. Saw through woods for while before,15 minutes,2015-07-23T00:00:00
2015-07-19T09:07:00,FL,Orlando,oval,I was sitting on my and noticed an object that was glowing Reddish-orange like a burning ember. It was moving west to east.It made no s,1 minute,2015-07-23T00:00:00
2015-07-19T11:15:00,,Lebanon,disk,Flying saucer/black disk shape/Lebanon/middle east /mountains.,Few seconds,2015-07-23T00:00:00
2015-07-04T21:30:00,CA,Whittier,fireball,((HOAX??))  We saw 3 cylinder objects that look like a flame floating around the air among the fireworks.,2.5 minutes,2015-07-17T00:00:00
2015-07-19T09:30:00,WV,Hurricane,,I saw an orange object that looked like it had green and red flashing lights.  First thought was an airplane but the Orange color wasn',4 minutes,2015-07-23T00:00:00
2015-07-04T21:30:00,WA,Seattle,light,Off white point of light viewed from Seattle is seen altering course 3 times before vanishing,30 seconds,2015-07-17T00:00:00
2015-07-04T21:58:00,CO,Thornton,unknown,Craft with 4 lights videoed at 4th of July fireworks.,5 minutes,2015-07-17T00:00:00
2015-07-04T22:00:00,NC,Greensboro,unknown,"While watching celebration, I noticed florescent green light hovering over the croud about 500+ ft off ground. Wasn't moving. Just stay",10 minutes,2015-07-17T00:00:00
2015-07-04T22:00:00,WA,Longview,rectangle,"Glowing lantern or drone? passes overhead during 4th of July firework displays in Longview, WA..",10 minutes,2015-07-17T00:00:00
2000-09-15T22:50:00,WA,Vancouver,light,Twinkling color changing lights seen from Vancouver Washington.,10 plus minutes,2000-09-17T00:00:00
2015-07-04T22:10:00,WA,Seattle,sphere,Red/Green light hovering before Gasworks fireworks.,10 minutes,2015-07-17T00:00:00
2015-07-04T22:15:00,WA,Bellevue,light,3 orange lights following each other.,60-90 seconds,2015-07-17T00:00:00
2015-07-05T00:25:00,NY,Lindenhurst,changing,After the fireworks calmed down in the north sky above tree line saw a very didtinct shape that looked like a five pointed  star. It a,10 seconds,2015-07-17T00:00:00
2015-07-06T22:03:00,CA,San Bernardino,fireball,I notice it was orange in color and was round in shape.,2 minutes,2015-07-17T00:00:00
2015-07-06T15:08:00,TN,Gatlinburg,oval,"Started out as a small circle in the sky.  As I got a closer view, it had red lights at the bottom as it was flying towards the hori",14:09,2015-07-17T00:00:00
2015-07-07T23:00:00,OR,Central Point,sphere,Extremely bright orbs in Oregon seen hovering and one followed descending plane.,10 minutes,2015-07-17T00:00:00
2015-07-08T21:30:00,ME,Lamoine,other,The balls of bright light were flying very fast and sporadically (8-10 at a time) in all directions for a period of 1-2 minutes then th,~10 minute +,2015-07-17T00:00:00
2015-07-09T02:18:00,,Edgbaston (Birmingham)(UK/England),rectangle,Dark black craft pouring hot heat trumpet noises no lights and around 30 foot long wide.,4 minutes,2015-07-17T00:00:00
2015-07-19T15:30:00,,Fife (UK/Scotland),oval,"Whilst at the local Knockhill Racing Circuit (Fife, Scotland) we noted a set of strange lights in the distance that appeared to be stat",6 minutes,2015-07-23T00:00:00
2015-07-19T19:00:00,MO,Lee's Summit,light,"Changing from dim red and blue to bright white, then vanishing.",5 minutes,2015-07-23T00:00:00
2000-09-16T00:45:00,NY,Selden,circle,hello 1) 5 lights 2) circle then converge in middle almost touching then go back and recircle i saw it for about 30 min. my sistersaw i,an hour,2000-09-17T00:00:00
2015-07-19T22:12:00,CA,Santa Barbara,circle,"Yellowish orange, odd circular object observed over Santa Barbara Ca.",2+ minutes,2015-07-23T00:00:00
2015-07-19T22:30:00,NM,Santa Fe,other,I saw a bright light it was green circle shape falling from the sky very bright and 15 minutes after that there was a UFO kind a look l,,2015-07-23T00:00:00
2015-07-19T22:30:00,NY,Wilson,triangle,3 orange/red color ball shape objects in triangle formation traveling west.,5 minutes,2015-07-23T00:00:00
2015-07-19T22:30:00,NE,La Junta,cylinder,Watching lightning storm southeast of La Junta a green-blue object appeared and shot north across the sky at a very fast speed then dis,5-10 seconds,2015-07-23T00:00:00
2015-07-19T23:30:00,WA,Olympia,cigar,"Long dark silent cigar shaped object in Olympia, WA, with lights on both ends",3 minutes,2015-07-23T00:00:00
2015-07-20T00:00:00,,Lubbock,,Looking north in Lubbock sky and saw green light fall from sky...,3 seconds,2015-07-23T00:00:00
2015-07-20T00:00:00,NC,Hendersonville,triangle,It was 3 lights that stud still for 10 minutes. then went right.,15 minutes,2015-07-23T00:00:00
2015-07-20T00:45:00,NC,Hendersonville,triangle,Triangular UFO sighting.,10 minutes,2015-07-23T00:00:00
2015-07-20T01:55:00,AB,Two Hills,light,"Me my sister and her two friends were having a campfire I am age 20 they are are 14-15, I was supervising them when I seen the first li",30 minutes,2015-07-23T00:00:00
2015-07-20T02:00:00,CA,Rocklin,triangle,Star-like Object wobbling in the Distance and a Large Black Triangular object with 3 bright lights and a red light in the middle.,5 minutes,2015-07-23T00:00:00
2017-04-29T20:53:00,NV,Las Vegas,formation,Triangular formation of 3 diamond-shaped craft with center craft moving erratically in multiple directions.,5 seconds,2017-05-06T00:00:00
1972-10-01T23:00:00,WA,Monroe,rectangle,STOP AND GO THE SIZE OF A LARG CAR WITH NO WINDOWS,15 MIN,2001-01-03T00:00:00
2015-07-09T20:00:00,NC,Oak Island,other,"Brightly lit, multi-light object flying in erratic pattern near seashore at Oak Island, NC",5 minutes,2015-07-17T00:00:00
2015-07-09T22:00:00,TX,Haltom City,circle,Lights over Haltom City.,2 minutes,2015-07-17T00:00:00
2015-07-09T21:00:00,OR,Saint Helens,diamond,"Seen object above SW side of St. Helens, OR. Guessing was under 1000 ft.  Strange movement jogs and jags.",45 minutes,2015-07-17T00:00:00
2015-07-10T00:45:00,IL,Springfield,unknown,"A light appeared out of no where at night during a drive-in movie.  Went straight a little then curved dramatically, ~90 degrees.",Short,2015-07-17T00:00:00
2015-07-10T12:25:00,OH,Delaware,disk,My girlfriend and I had a late Friday dinner in downtown Delaware. We left the restaurant at 8:15 to go back to her residence and start,10 minutes,2015-07-17T00:00:00
2015-07-10T18:02:00,VA,Waterford,light,Two bright lights moving mostly south.,1 minute,2015-07-17T00:00:00
2015-07-10T21:00:00,NY,Mastic Beach,circle,"Reddish orange ball shaped object.  At first, I thought is was a firework, but the object began to rise.",4 minutes,2015-07-17T00:00:00
2015-07-10T21:00:00,NY,Mastic Beach,circle,"Approx. 9 pm I spotted a reddish orange ball shaped object.  At first i thought is was a firework, but the obj. began to rise.",4 minutes,2015-07-17T00:00:00
2015-07-10T21:15:00,CA,Playa Vista,flash,Swirling bolt of light or lightning.,2-3 seconds,2015-07-17T00:00:00
2015-07-10T21:30:00,MA,Chilmark,light,3  lights in trangular formation which faded out.,3 minutes,2015-07-17T00:00:00
1975-05-01T17:00:00,NV,Reno,disk,A disk shape hovering over my apartment building in broad daylight in a busy city.,2 minutes,2001-01-03T00:00:00
2015-07-10T22:00:00,GA,Marietta,fireball,((NUFORC Note:  No information provided by witness.  PD)),5 seconds,2015-07-17T00:00:00
2015-07-10T22:00:00,NH,Hampton,unknown,Two timing red lights in the sky.,20,2015-07-17T00:00:00
2015-07-10T22:00:00,GA,Marietta,fireball,"The object looked like a small Sun, but not as bright.  It did not have a trail but did have a wide tail the same width as the front.",5 seconds,2015-07-17T00:00:00
2015-07-20T03:20:00,WA,Everett,fireball,While standing at my window with the window open I saw 1-2 orange-ish/ Fire colored lights in the sky over the Everett area near Boeing,1 minutes,2015-07-23T00:00:00
2015-07-20T09:15:00,AB,Edmonton,circle,"Daylight sighting of multiple objects over Edmonton, AB-recorded on two devices by family at park.",25,2015-07-23T00:00:00
2015-07-20T12:34:00,NC,Durham,rectangle,"Silver almost translucent, object flying over Durham.",2 minutes,2015-07-23T00:00:00
2015-07-20T20:38:00,AZ,Sierra Vista,light,Large ball of light seen traveling across the sky and under cloudline,2.5 seconds,2015-07-23T00:00:00
2015-07-20T20:55:00,OK,Bethany,rectangle,My father was in backyard closing up shed as I was in the living room watching tv he comes in and tell me to come outside and look at t,1 minutes,2015-07-23T00:00:00
2015-07-20T22:00:00,SC,Summerville,triangle,Huge Craft in South Carolina Sky (Summerville),15 minutes,2015-07-23T00:00:00
2015-07-20T21:00:00,NY,Monroe,disk,"Disk with two dim red lights, surrounded by a blue aura, with a light whirring sound, almost inaudible. ~300ft in the air",40 minutes,2015-07-23T00:00:00
2000-09-16T15:30:00,NY,New York,formation,Unidetified cluster of objects moving over Manahattan,10minutes,2000-09-17T00:00:00
2015-07-20T22:00:00,NV,North Las Vegas,sphere,"I heard a loud noise that sounded like an airplane flying over. I looked outside and saw 2 orbs flying right next to eachother, practic",1-2 minutes,2015-07-23T00:00:00
2015-07-20T22:00:00,AZ,Aguila,,"((HOAX??))  Craft in high space:  After throwing Booster, it speed up and, disappeared.",10 seconds,2015-07-23T00:00:00
2015-07-20T22:15:00,AL,Huntsville,chevron,"Dark, quiet, large, slow moving, low flying object (about 2,000 ft. from the ground) seen N. bound into Huntsville, AL",2 minutes,2015-07-23T00:00:00
2015-07-21T00:17:00,NJ,Freehold,triangle,Triangular aircraft with white lights and a blinking red light at triangles core,20 seconds,2015-07-23T00:00:00
