seen_date,state,city,shape,summary,duration,posted_date
2015-07-26T03:00:00,NY,Alden,light,Satelite looking objects moving unintelligibly with shocking ability to change direction and stop.,2.5-3 hours,2015-07-31T00:00:00
2015-07-26T13:00:00,,Johannesburg (South Africa),sphere,"Report of 50+ balls of light and 2-3 Massive ships appearing in South Africa, above Johannesburg.",">5 hours, and continu",2015-07-31T00:00:00
2015-07-26T18:30:00,CO,Broomfield,circle,Circular ferris wheel object with bright lights moving across the sky.,4 minutes,2015-07-31T00:00:00
2015-07-26T20:35:00,FL,Cutler Bay,oval,Round light moving across the sky . hovered and changed colors,15 minutes,2015-07-31T00:00:00
2015-07-31T22:00:00,MN,Richmond,flash,"Looking S near Richmond, MN.  It was a horizontal flash, larger than a jet in three separate jagged lines...not lightning.",2 seconds,2015-08-06T00:00:00
2015-07-31T22:05:00,IL,Buffalo Grove,light,"Bright starlike object with changing speeds and floating movement at very high altitude moving W to E, without dimming in intensity.",5 minutes,2015-08-06T00:00:00
2015-07-31T22:15:00,VT,Saint Johnsbury,sphere,Unexplained Bright White Lights Over Saint Johnsbury Vermont!!,10 minutes,2015-08-06T00:00:00
2000-09-10T21:10:00,MN,Hermantown,triangle,my feiance and I were driving home from a weekend out of town. We were driving south on hwy 53 just north of hermantown minnesota..When,5 minutes,2000-09-17T00:00:00
2015-07-31T22:16:00,QC,Venise en Quebec,egg,"Orange, egg-shaped orb over Venise end Quebec",5 minutes,2015-08-06T00:00:00
2015-07-31T22:40:00,NC,Salvo,fireball,"Large and bright red fireball or light, silent and very fast moving N, and then nearly 90 degree westward turn over Pamlico Sound.",1 minute,2015-08-06T00:00:00
2015-07-31T23:00:00,CA,Stockton,sphere,Seven Beautiful luminous orange orange orbs dance away above Stockton California,2 minutes,2015-08-06T00:00:00
2015-07-31T23:00:00,OH,Dublin,triangle,((HOAX??))  triangle craft with bright green lights and fast not very loud at all.,fast,2015-08-06T00:00:00
2015-07-31T23:00:00,MD,West Friendship,egg,"Pictures and video of blue egg shaped orb.  ((NUFORC Note:  Lens flares, caused by pointing a camera at a bright source of light.  PD))",2-3 minutes,2015-08-06T00:00:00
2015-07-31T23:00:00,MA,Orleans,cylinder,Very bright object from the west moving east over Orleans MA 7-31-15.,2 minutes,2015-08-06T00:00:00
2015-07-31T23:00:00,TN,Old Hickory,light,"Seen flashing over Old Hickory Lake, going towards Mount Juliet.",3 minutes,2015-08-06T00:00:00
2015-07-31T23:50:00,ME,Scarborough,circle,"Ball-shaped green light zooms through the sky, stops, then continues.",5 seconds,2015-08-06T00:00:00
2015-08-01T00:30:00,OH,Miamisburg,disk,My b.f. and I were stargazing on our back porch after I told him I saw a very vivid and long falling star trail.,2 minutes,2015-08-06T00:00:00
2015-07-26T21:30:00,VA,Bristol,triangle,"I seen a red light under the moon and then I seen another one about 30 feet away, while I was looking at them a two green triangles.",30,2015-07-31T00:00:00
2000-09-10T22:00:00,MD,Patuxent River,light,I had three sightings exactly like the Hagertown sighting on 01/16/00. The first (04/28/98) was on Rt. 270 South near the Boyds exit. T,5 seconds,2000-09-17T00:00:00
2015-07-26T21:45:00,WY,Beloit,fireball,"Four orange spheres seen traveling east to west at 9:45 in Beloit, WI.",5 minutes,2015-07-31T00:00:00
2015-07-26T21:47:00,MO,Arnold,fireball,"Spotted a bright orange, burning fireball heading northeast.",3 minutes,2015-07-31T00:00:00
2015-07-26T23:30:00,IL,River Grove,triangle,"I was smoking a cigarette through my window, when I spotted very white bright lights hovering in the sky.",2-3 minutes,2015-07-31T00:00:00
2015-07-26T22:20:00,ON,Toronto,light,"One small, one large deep red light fading on and off following one another closely in a circle around the city of Toronto.",5-7 minutes,2015-07-31T00:00:00
2015-07-27T13:00:00,WA,Bellingham,circle,White circle dot w/markings above a black helicopter.  ((NUFORC Note:  Lens flare.  PD)),unknown,2015-07-31T00:00:00
2015-07-27T13:00:00,OR,Redmond,light,"Unusual bright object, visible during mid-day; bright blue sky.",1 hour,2015-07-31T00:00:00
2015-07-27T19:15:00,PA,Berwick,sphere,Larger craft and small sphere using cloud as cover.  ((NUFORC Note:  Photos show tiny speck.  PD)),2 minutes,2015-07-31T00:00:00
2015-07-27T19:35:00,OR,Eagle Point,oval,Metallic oval light over Southern Oregon viewed for several minutes.,2 minutes,2015-07-31T00:00:00
2015-07-27T20:15:00,SD,Sioux Falls,other,I have 4 excellent pictures would like someone to look at them.,3-6 minutes,2015-07-31T00:00:00
2015-07-27T20:50:00,GA,Acworth,oval,My wife and I were sitting on the porch and she saw the obj. in the sky and told me to look at the object that's when it disappeared.,5 minutes,2015-07-31T00:00:00
2000-09-11T00:30:00,IL,Peoria,formation,looked like a three color mercedes cymbol,still there,2000-09-17T00:00:00
2015-07-27T21:12:00,NC,Monroe,cigar,"Vertical, orange, cigar shaped craft.",10 minutes,2015-07-31T00:00:00
2015-08-01T02:05:00,CA,Ventura,unknown,"Object slowly rising, then took off like nothing man made.",30 seconds,2015-08-06T00:00:00
2015-08-01T20:22:00,AZ,Tempe,formation,Formation of about 8 to 10 dim reddish lights.,~4 minutes,2015-08-06T00:00:00
2015-08-01T21:20:00,IL,Marseilles,fireball,Various self piloting fireballs.  Succeeded by red light craft.,2 minutes,2015-08-06T00:00:00
2015-08-01T21:21:00,AZ,Tempe,light,"Ten points of light flying formation in the sky over Tempe, AZ, 21:21 hrs 1 AUG 2015.",10 minutes,2015-08-06T00:00:00
2015-08-01T21:30:00,PA,Langhorne,light,Cluster of 50 orange lights in night sky over Langhorne.,2-4 minutes,2015-08-06T00:00:00
2015-08-01T21:30:00,WI,Oak Creek,sphere,Two red orange fireballs fly low over neighborhood.,10 minutes,2015-08-06T00:00:00
2015-08-01T21:36:00,NY,Lagrange,circle,Witnessed multiple red orb shapes moving in a line from below the hor. to middle sky.  The lights appeared to be blinking or pulsing.,5 minutes,2015-08-06T00:00:00
2015-08-01T21:30:00,IL,Ottawa,light,"Strange fire-like lights in the sky (3 total) near Ottawa, IL, that extinguished after a few minutes, leaving only a red light.",2 minutes,2015-08-06T00:00:00
2015-08-01T22:00:00,MN,Champlin,light,Steady orange lights traveling from SW horizon to NE horizon in under 30 seconds.,30 minutes,2015-08-06T00:00:00
2000-09-11T00:30:00,IL,Peoria,formation,two more showed up!,still there,2000-09-17T00:00:00
2015-08-01T22:00:00,MI,North Central Upper Peninsula,light,"Intensely bright, red-and-white flashing, silent, slowly moving object.",7 minutes,2015-08-06T00:00:00
2015-08-01T22:00:00,WY,Torrington,sphere,One large bright light split into two.,5 minutes,2015-08-06T00:00:00
2015-08-01T22:10:00,LA,Gonzales,light,"Walking after dinner and looking to big moon in clear sky, all of sudden a very fast white light appeared in sky.",40 seconds,2015-08-06T00:00:00
2015-07-27T21:30:00,NC,Durham,cigar,"Driving and saw a cigar shaped object moving slowly, gliding.  Way larger than a plane. Not near the airport. Thought maybe it was a bl",3 minutes,2015-07-31T00:00:00
2015-07-27T22:00:00,IN,San Pierre,circle,Bright flashing yellow light moving fast.,1 minute,2015-07-31T00:00:00
2015-07-27T22:00:00,NY,Diamond Point,triangle,"Three motionless triangular objects, high in evening sky, over Lake George area, having reddish glow on the tips of craft.",10 minutes,2015-07-31T00:00:00
2015-07-28T00:00:00,WA,Olympia,other,Tons of activity in Olympia's sky.,Everyday,2015-07-31T00:00:00
2015-07-28T01:15:00,CA,Antioch,fireball,Fireball over Antioch California seen for 15-20 minutes travelling at varying speeds and making dramatic direction changes.,15 minutes,2015-07-31T00:00:00
2015-07-28T01:30:00,NH,Salem,unknown,A loud humming/whistling object with bright lights flew over my home.,30 seconds,2015-07-31T00:00:00
2015-07-28T12:00:00,IN,Noblesville,unknown,"In Google Earth go to street level 385 Cliff Overlook Noblesville, IN, (46062) or further north on same street.",google earth,2015-07-31T00:00:00
2000-09-12T01:55:00,FL,Jasper,circle,me & my wife have seen it for at least a 3 weeks now it stays in one spot it come & goes ?? sure like to know what it is,,2000-09-17T00:00:00
2015-07-28T18:15:00,WA,Spokane,light,"Father and son witness two highly-reflective, disk-shaped craft, in the southeastern sky of Spokane.",30 minutes,2015-07-31T00:00:00
